step,reward_mean,kl_mean,policy_loss,value_loss,entropy,clipfrac
1,-0.564205527305603,0.0008319693151861429,-0.020400715991854668,1.1685993671417236,3.922125816345215,0.0
2,1.2957313060760498,0.0012845981400460005,-0.0067987143993377686,1.8395252227783203,3.609448194503784,0.0
3,1.296515941619873,-0.002461554016917944,-0.002684861421585083,2.3968777656555176,4.392637252807617,0.0
4,1.4162635803222656,-0.0027844617143273354,-0.0030106231570243835,2.9420862197875977,3.992544174194336,0.0
5,0.20409941673278809,-0.006129750981926918,-0.005943186581134796,1.0042102336883545,3.5576171875,0.0
6,0.15518352389335632,0.0030870139598846436,-0.004197321832180023,0.9205361008644104,3.0260064601898193,0.0
7,1.501375436782837,0.0013395363930612803,-0.0025473125278949738,1.862919807434082,3.320256233215332,0.0
8,-0.266758531332016,-0.005716579966247082,-0.0026724636554718018,2.2115204334259033,3.35025691986084,0.0
9,0.9496415257453918,-0.0019374468829482794,-0.0032885074615478516,1.806410312652588,4.01387357711792,0.0
10,1.5881203413009644,-0.004402522929012775,-0.003964949399232864,1.635629415512085,3.869689702987671,0.0
11,0.09189905226230621,-0.006103540305048227,-0.0021825041621923447,1.448814868927002,4.184810161590576,0.0
12,1.0799673795700073,0.0024338960647583008,-0.0027778074145317078,1.099826455116272,2.469391107559204,0.0
13,1.0228685140609741,-0.0017604806926101446,-0.0021766293793916702,3.297163963317871,4.011138439178467,0.0
14,-0.0840228945016861,-0.0015200049383565784,-0.0029257871210575104,1.5870424509048462,3.2842764854431152,0.0
15,1.2682220935821533,-0.0047373403795063496,-0.0013677645474672318,2.1597208976745605,2.8358101844787598,0.0
16,1.3368360996246338,-0.002292824909090996,-0.0018406137824058533,1.8140406608581543,3.376809597015381,0.0
17,1.8378877639770508,0.00964360311627388,-0.002571921795606613,1.532604455947876,3.2345385551452637,0.0
18,1.5188102722167969,-0.01763935014605522,-0.0014013126492500305,1.6340067386627197,3.937737464904785,0.0
19,-0.8191091418266296,-0.0027692553121596575,-0.0015625450760126114,2.7144577503204346,2.6182737350463867,0.0
20,0.959882915019989,-0.03010581061244011,-0.004411652684211731,0.9145674109458923,4.5274810791015625,0.0
21,0.6209537982940674,0.0020920904353260994,-0.0024925433099269867,2.110888719558716,3.583587169647217,0.0
22,-0.5984602570533752,-0.018339650705456734,-0.0024014990776777267,3.1402933597564697,3.327528715133667,0.0
23,1.7656676769256592,-0.006137377582490444,-0.0029434412717819214,1.9030582904815674,3.5435006618499756,0.0
24,1.7541197538375854,-0.02132236212491989,-0.0014182180166244507,1.465843677520752,2.9330217838287354,0.0
25,0.7634392380714417,-0.029865063726902008,-0.0007631182670593262,2.308150291442871,4.078821659088135,0.0
26,0.43859219551086426,-0.020055703818798065,-0.001941639930009842,1.329811453819275,3.2489242553710938,0.0
27,3.254493236541748,0.046143680810928345,-0.008625447750091553,1.6182281970977783,3.0803539752960205,0.0
28,0.6227986812591553,-0.02860531210899353,-0.0031761564314365387,4.002961158752441,4.1476335525512695,0.0
29,-0.6069216728210449,-0.05222690850496292,-0.0016801655292510986,3.582263946533203,4.178622245788574,0.0
30,1.760678768157959,-0.02379309944808483,-0.004069127142429352,2.908474922180176,3.467036247253418,0.0
31,3.393429756164551,-0.01922236755490303,-0.0010041296482086182,3.8306713104248047,2.203885078430176,0.0
32,1.4018895626068115,0.00369250332005322,-0.0016340911388397217,1.5866303443908691,2.5888519287109375,0.0
33,2.387838363647461,-0.004002396948635578,-0.001890808343887329,1.450008511543274,3.884679079055786,0.0
34,2.0635693073272705,-0.019285235553979874,-0.0013523325324058533,2.7663307189941406,3.1844308376312256,0.0
35,0.7261424660682678,-0.022427309304475784,-0.0022507812827825546,4.8801984786987305,3.544865131378174,0.0
36,-0.5630689859390259,-0.01572789065539837,-0.0008437493816018105,3.287288188934326,4.029217720031738,0.0
37,0.47327616810798645,-0.014961815439164639,-0.00166394654661417,1.8638540506362915,4.0051774978637695,0.0
38,1.9966344833374023,-0.04445493966341019,-0.0025754589587450027,1.1129415035247803,4.136458873748779,0.0
39,1.398148775100708,-0.03265216201543808,-0.0023268982768058777,1.1833102703094482,3.6422314643859863,0.0
40,0.6591863632202148,-0.03779953718185425,-0.0036671068519353867,1.0385451316833496,3.817924737930298,0.0
41,1.6524004936218262,-0.03302548825740814,-0.002075430005788803,1.1845102310180664,3.27401065826416,0.0
42,0.6273264288902283,-0.03354404866695404,-0.00394357368350029,1.2580418586730957,3.4078454971313477,0.0
43,1.0965113639831543,-0.017423570156097412,-0.0012985393404960632,1.4964947700500488,3.8687496185302734,0.0
44,0.6821228861808777,0.013239750638604164,-0.00210585817694664,1.1543705463409424,3.7244269847869873,0.0
45,0.27570557594299316,-0.02738247439265251,-0.0021217092871665955,2.2578797340393066,2.6922507286071777,0.0
46,0.15413439273834229,-0.02140287682414055,-0.0014559663832187653,3.22584867477417,3.023700475692749,0.0
47,-0.007645964622497559,-0.02200974151492119,-0.0007683858275413513,2.6585488319396973,3.173834800720215,0.0
48,0.3961181342601776,-0.037272218614816666,-0.0033404938876628876,1.3380820751190186,3.149096727371216,0.0
49,1.0198291540145874,-0.03639727085828781,-0.004917889833450317,0.620185375213623,3.956653118133545,0.0
50,1.894589900970459,0.0012391088530421257,-0.0021422356367111206,1.627706527709961,3.858546257019043,0.0
51,3.337217330932617,-0.006383128464221954,-0.0012514013797044754,5.798623561859131,3.4970498085021973,0.0
52,-0.09700396656990051,-0.018866825848817825,-0.0013595707714557648,2.549319267272949,3.6737160682678223,0.0
53,0.06449630856513977,-0.020657978951931,-0.002702588215470314,1.7862427234649658,3.4006993770599365,0.0
54,1.0451654195785522,-0.018357649445533752,-0.004013441503047943,0.9403542280197144,3.348646402359009,0.0
55,0.4420492649078369,-0.02630692906677723,-0.0012354589998722076,2.2953603267669678,4.3956732749938965,0.0
56,0.7848332524299622,-0.007806145586073399,-0.0027259215712547302,1.58938467502594,4.205253601074219,0.0
57,1.4193570613861084,-0.0022093041334301233,-0.0019531138241291046,1.375933051109314,3.3866279125213623,0.0
58,0.5675201416015625,-0.020691905170679092,-0.002754645422101021,1.4178314208984375,3.2151849269866943,0.0
59,2.0155177116394043,-0.039186298847198486,-0.0026257671415805817,1.1994571685791016,3.1955153942108154,0.0
60,-0.5714970827102661,-0.07572248578071594,-0.0016134008765220642,1.75226891040802,4.983538627624512,0.0
61,1.1452230215072632,-0.02657269686460495,-0.002563619986176491,3.125882387161255,3.772228240966797,0.0
62,1.647087812423706,0.003526553511619568,-0.0006119851022958755,3.4004762172698975,3.4844608306884766,0.0
63,1.3626445531845093,-0.0015486073680222034,-0.0013100039213895798,5.666544437408447,3.446683883666992,0.0
64,1.2087422609329224,-0.017893806099891663,-0.002061944454908371,0.9666668772697449,3.270397663116455,0.0
65,-0.19111740589141846,-0.01862296275794506,-0.0022469311952590942,1.3998959064483643,3.4482901096343994,0.0
66,-0.5206268429756165,-0.03707648441195488,-0.0028391219675540924,1.4537742137908936,3.239706516265869,0.0
67,0.8633864521980286,-0.0954810082912445,-0.003873039036989212,1.0881128311157227,3.997699737548828,0.0
68,-0.30631783604621887,-0.04225960373878479,-0.0017364248633384705,2.553345203399658,3.672140121459961,0.0
69,0.2685013711452484,0.010595820844173431,-0.0011730436235666275,2.7050623893737793,2.6845755577087402,0.0
70,0.7127847075462341,-0.05124503746628761,-0.003262162208557129,0.6037329435348511,3.4000797271728516,0.0
71,0.5239584445953369,-0.22581245005130768,-0.009694988839328289,1.8711888790130615,5.58139181137085,0.0
72,2.496002674102783,-0.030130529776215553,-0.0013681091368198395,3.760849714279175,3.4140422344207764,0.0
73,0.1218460202217102,-0.12703126668930054,-0.001904478296637535,1.2305186986923218,4.691612243652344,0.0
74,-0.7228966951370239,-0.07221592962741852,-0.0018215849995613098,2.6417813301086426,4.538585662841797,0.0
75,0.8628052473068237,-0.058852240443229675,-0.0049512991681694984,0.7903757691383362,4.315025329589844,0.0
76,0.7457324266433716,-0.0551246702671051,-0.0030293166637420654,1.398310899734497,3.8835909366607666,0.0
77,-0.18543921411037445,0.006769785191863775,-0.003366926684975624,0.7252002954483032,3.44277024269104,0.0
78,1.194495677947998,-0.01919340156018734,-0.0050590867176651955,0.846153199672699,3.244202136993408,0.0
79,0.6577351689338684,0.001835498958826065,-0.002841722220182419,0.9128381013870239,3.8312745094299316,0.0
80,0.4388118088245392,-0.05064041167497635,-0.0033237598836421967,1.411118507385254,4.744724273681641,0.0
81,2.1070516109466553,-0.041728466749191284,-0.0011554211378097534,2.5117392539978027,3.333920955657959,0.0
82,0.6618127822875977,-0.07504324615001678,-0.002494281157851219,1.7617871761322021,3.213466167449951,0.0
83,0.39075571298599243,-0.14220356941223145,-0.003937356173992157,1.657142162322998,4.37520694732666,0.0
84,0.9970794320106506,-0.059950098395347595,-0.0014306753873825073,2.4162943363189697,3.2644286155700684,0.0
85,0.41174638271331787,-0.06361517310142517,-0.004085715860128403,0.7069800496101379,3.8974380493164062,0.0
86,0.09099715948104858,-0.01145869493484497,-0.003567565232515335,0.49302953481674194,2.241751194000244,0.0
87,0.7936440110206604,-0.03724546730518341,-0.0015826132148504257,2.291005849838257,3.3857507705688477,0.0
88,0.4145693778991699,0.010305322706699371,-0.003465898334980011,1.1194347143173218,2.064509868621826,0.0
89,0.22389334440231323,-0.042115435004234314,-0.0027076508849859238,2.4226131439208984,4.2024245262146,0.0
90,2.4341325759887695,-0.029126441106200218,-0.0010720789432525635,3.549316883087158,3.385806083679199,0.0
91,0.1963442713022232,-0.06369120627641678,-0.004338793456554413,1.06787109375,4.052793502807617,0.0
92,1.1947436332702637,-0.012628564611077309,-0.0034970100969076157,0.794001579284668,3.7490394115448,0.0
93,0.7686676383018494,-0.03461281210184097,-0.003493964672088623,1.3641413450241089,4.175368309020996,0.0
94,-0.32646238803863525,-0.04640321433544159,-0.0020086728036403656,1.4880023002624512,3.48978328704834,0.0
95,0.29490914940834045,-0.16216538846492767,-0.006114400923252106,0.5445678234100342,5.046553611755371,0.0
96,0.52409428358078,-0.09850740432739258,-0.005026990547776222,1.4061917066574097,2.576500415802002,0.0
97,-0.7085320353507996,-0.010313187725841999,-0.0015326999127864838,2.2743420600891113,2.7379908561706543,0.0
98,0.31059232354164124,-0.2257634997367859,-0.011001644656062126,1.5173976421356201,5.657942771911621,0.0
99,1.1123099327087402,-0.011880583129823208,-0.0033070221543312073,0.7383779287338257,3.2931294441223145,0.0
100,1.482053279876709,-0.030014198273420334,-0.002059420570731163,1.155071496963501,2.7063698768615723,0.0
101,0.7652782201766968,-0.005436797626316547,-0.003580871969461441,0.6941487789154053,3.292724132537842,0.0
102,0.7125808000564575,-0.06373552232980728,-0.002314440906047821,1.4583163261413574,3.2672669887542725,0.0
