step,train_loss,val_loss,lr
250,4.837187051773071,4.523153853416443,0.00014993846862966563
500,4.264485239982605,4.10166745185852,0.0001477202164537555
750,4.090704917907715,3.884625045458476,0.00014240653304861827
1000,3.7466301918029785,3.7383146047592164,0.00013422360230584001
1250,3.817201793193817,3.638485137621562,0.00012351974138676884
1500,3.515174150466919,3.5638575077056887,0.00011075057414647496
1750,3.5213820338249207,3.5005086342493694,9.645963690779046e-05
2000,3.492378890514374,3.4509080489476522,8.125524212605133e-05
2250,3.2867900729179382,3.4012922922770183,6.5784584772945e-05
2500,3.255834400653839,3.3716664632161457,5.0706193635138806e-05
2750,3.1543744802474976,3.3522030194600423,3.666190017423387e-05
3000,3.013282060623169,3.3335889339447022,2.424951813022318e-05
3250,3.1345382928848267,3.3217397054036457,1.3997396796903945e-05
3500,3.213049829006195,3.314689127604167,6.341931142395779e-06
3750,2.9195134043693542,3.3102460940678915,1.6089860859306692e-06
4000,3.275057017803192,3.309781813621521,2.5630896396955368e-11
250,4.837205171585083,4.523105398813883,0.00014993846862966563
500,4.264501690864563,4.101643037796021,0.0001477202164537555
750,4.090959906578064,3.8846710920333862,0.00014240653304861827
1000,3.7467786073684692,3.7382930278778077,0.00013422360230584001
1250,3.817173719406128,3.638543717066447,0.00012351974138676884
1500,3.5152191519737244,3.5638508399327598,0.00011075057414647496
1750,3.5214638710021973,3.5005222002665204,9.645963690779046e-05
2000,3.492371678352356,3.450945989290873,8.125524212605133e-05
2250,3.2869462966918945,3.4013354063034056,6.5784584772945e-05
2500,3.2559852600097656,3.3716941356658934,5.0706193635138806e-05
2750,3.154209852218628,3.3522151708602905,3.666190017423387e-05
3000,3.013483226299286,3.333629099527995,2.424951813022318e-05
3250,3.1345298290252686,3.321756092707316,1.3997396796903945e-05
3500,3.2130404114723206,3.314710283279419,6.341931142395779e-06
3750,2.9194716811180115,3.310270404815674,1.6089860859306692e-06
4000,3.2749624848365784,3.309802190462748,2.5630896396955368e-11
