step,train_loss,val_loss,val_ppl,lr
500,3.6386682391166687,3.56812885761261,35.450198684848864,0.0003
1000,2.804156482219696,2.7813720655441285,16.14115248076017,0.0002979623519858508
1500,2.5192269682884216,2.440846424102783,11.482755912008418,0.0002918886849204797
2000,2.3641509413719177,2.2734062767028806,9.712427749069764,0.0002819446644066742
2500,2.181036412715912,2.1673030829429627,8.7346954975905,0.0002684015374019242
3000,2.0916371941566467,2.097516715526581,8.145916147954306,0.00025162872510662215
3500,1.9782417714595795,2.050487413406372,7.771688208312528,0.00023208374611672543
4000,2.0721585154533386,2.011800615787506,7.476768020474996,0.00021029973650912065
4500,1.959504246711731,1.9773936581611633,7.223890499773666,0.00018687090727922853
5000,1.9138154685497284,1.9507849788665772,7.034207117876467,0.00016243633581404092
5500,2.0021431744098663,1.929466049671173,6.885832567257428,0.00013766253352695424
6000,1.9809560179710388,1.9083410000801087,6.7418947128165945,0.00011322526516387736
6500,1.8184888064861298,1.8946346235275269,6.650118163967248,8.979111570255101e-05
7000,1.9410389363765717,1.8832211327552795,6.574648606486543,6.799930765201157e-05
7500,1.8828533291816711,1.8723435926437377,6.503520155171675,4.8444264728874055e-05
8000,1.780215084552765,1.8641374564170838,6.450369760778927,3.165939752788912e-05
8500,1.8169004917144775,1.8579017472267152,6.410272278828072,1.810255347141658e-05
9000,1.8607390820980072,1.8544150233268737,6.387960349641656,8.143527925261978e-06
9500,1.844496488571167,1.8521663928031922,6.373612324764437,2.0539771450824914e-06
10000,1.7899546027183533,1.852119140625,6.373311164814427,8.201887236047866e-12
500,3.6386653184890747,3.5681165170669558,35.44976121275287,0.0003
1000,2.804153263568878,2.781384801864624,16.141358060960496,0.0002979623519858508
1500,2.519213914871216,2.440853090286255,11.482832458421226,0.0002918886849204797
2000,2.364176630973816,2.273407859802246,9.712443124820142,0.0002819446644066742
2500,2.1810001730918884,2.167304220199585,8.734705431186446,0.0002684015374019242
3000,2.0916559398174286,2.097514591217041,8.145898843525304,0.00025162872510662215
3500,1.9782449901103973,2.05049054145813,7.771712518593509,0.00023208374611672543
4000,2.0721369683742523,2.0117976784706117,7.476746058870229,0.00021029973650912065
4500,1.9595023095607758,1.9773960733413696,7.223907946792083,0.00018687090727922853
5000,1.9138366878032684,1.9507862043380737,7.0342157381020725,0.00016243633581404092
5500,2.0021719336509705,1.9294619345664978,6.88580423139394,0.00013766253352695424
6000,1.98093381524086,1.908341372013092,6.741897220350075,0.00011322526516387736
6500,1.8184905052185059,1.8946360325813294,6.650127534348136,8.979111570255101e-05
7000,1.9410569369792938,1.883224139213562,6.574668372923014,6.799930765201157e-05
7500,1.8828458786010742,1.8723443865776062,6.50352531853864,4.8444264728874055e-05
8000,1.7802151143550873,1.8641420221328735,6.4503992114012245,3.165939752788912e-05
8500,1.816892147064209,1.8579034256935119,6.41028303826628,1.810255347141658e-05
9000,1.8607479333877563,1.8544174385070802,6.387975777735683,8.143527925261978e-06
9500,1.8444768786430359,1.8521696972846984,6.373633386283291,2.0539771450824914e-06
10000,1.7899183332920074,1.8521212887763978,6.37332485566642,8.201887236047866e-12
