step,train_loss,val_loss,lr
250,4.4163758754730225,4.531344604492188,0.00014993846862966563
500,3.4852914214134216,4.1762243747711185,0.0001477202164537555
750,3.0027657747268677,4.053450767199198,0.00014240653304861827
1000,2.653964400291443,4.012698713938395,0.00013422360230584001
1250,2.4495532512664795,4.035012110074361,0.00012351974138676884
1500,2.2066657841205597,4.064734554290771,0.00011075057414647496
1750,2.0272931456565857,4.104030259450277,9.645963690779046e-05
2000,1.6928969621658325,4.16462439695994,8.125524212605133e-05
2250,1.6583149135112762,4.207850106557211,6.5784584772945e-05
2500,1.4099096655845642,4.253510594367981,5.0706193635138806e-05
2750,1.4336081445217133,4.293985120455424,3.666190017423387e-05
3000,1.1960587203502655,4.319480625788371,2.424951813022318e-05
3250,1.2351772785186768,4.334683338801066,1.3997396796903945e-05
3500,1.338847666978836,4.34231485525767,6.341931142395779e-06
3750,1.124682679772377,4.346661369005839,1.6089860859306692e-06
4000,1.2950069308280945,4.346858851114908,2.5630896396955368e-11
