step,train_loss,val_loss,val_ppl,lr
500,3.4367579221725464,3.352294192314148,28.568199463100836,0.0003
1000,2.558395743370056,2.5537009048461914,12.854589470925129,0.0002979623519858508
1500,2.288839280605316,2.249913368225098,9.486913932565225,0.0002918886849204797
2000,2.155321717262268,2.101954278945923,8.182144490803385,0.0002819446644066742
2500,1.9642920196056366,2.0088876986503603,7.455020504511123,0.0002684015374019242
3000,1.8840108513832092,1.9437040162086487,6.984574092130887,0.00025162872510662215
3500,1.7715323567390442,1.9032131552696228,6.707411810047674,0.00023208374611672543
4000,1.873155266046524,1.8653198599815368,6.458001211814452,0.00021029973650912065
4500,1.7393737435340881,1.8343481397628785,6.261051484412832,0.00018687090727922853
5000,1.6966930627822876,1.8120286655426026,6.122856068617166,0.00016243633581404092
5500,1.7842729985713959,1.7900250697135924,5.9896026221231935,0.00013766253352695424
6000,1.7584378123283386,1.7709968900680542,5.876708874956299,0.00011322526516387736
6500,1.5841665863990784,1.7564416480064393,5.791791450764802,8.979111570255101e-05
7000,1.7003320157527924,1.745090217590332,5.726418075757765,6.799930765201157e-05
7500,1.6470827162265778,1.7346732306480408,5.667075674566243,4.8444264728874055e-05
8000,1.5529329478740692,1.7268474292755127,5.622899349006545,3.165939752788912e-05
8500,1.5758365094661713,1.7202527570724486,5.585940171743698,1.810255347141658e-05
9000,1.608529418706894,1.7167779517173767,5.5665638009765575,8.143527925261978e-06
9500,1.6104106903076172,1.7145518112182616,5.554185630743202,2.0539771450824914e-06
10000,1.5457179248332977,1.714336597919464,5.552990424748201,8.201887236047866e-12
