step,train_loss,val_loss,lr
250,4.460174798965454,4.341776355107625,0.00014993846862966563
500,3.9956551790237427,3.8963865598042804,0.0001477202164537555
750,3.4803131222724915,3.67972772916158,0.00014240653304861827
1000,3.385399639606476,3.5502347787221273,0.00013422360230584001
1250,3.5392242074012756,3.4614965677261353,0.00012351974138676884
1500,3.1624924540519714,3.389814591407776,0.00011075057414647496
1750,3.183253765106201,3.337030069033305,9.645963690779046e-05
2000,3.0987452268600464,3.2997494459152223,8.125524212605133e-05
2250,2.9354591965675354,3.2628751118977863,6.5784584772945e-05
2500,3.113335371017456,3.237870947519938,5.0706193635138806e-05
2750,2.7767727375030518,3.226331623395284,3.666190017423387e-05
3000,2.673385739326477,3.2129367113113405,2.424951813022318e-05
3250,2.923509359359741,3.2049614985783896,1.3997396796903945e-05
3500,2.824616551399231,3.199533136685689,6.341931142395779e-06
3750,2.6634755730628967,3.198442006111145,1.6089860859306692e-06
4000,2.9714315533638,3.198132801055908,2.5630896396955368e-11
